Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Apartamento para comprar com 27 m², 1 quarto, 1 banheiro, 1 vaga em Velha, Blumenau",,27.0,390000.0,14444.444444444443,-27.0797576,-48.9100801,Apartamento,1,1,1
"Apartamento para comprar com 69 m², 3 quartos, 2 banheiros, 1 vaga em Salto Weissbach, Blumenau",,69.0,265000.0,3840.579710144928,-27.0797576,-48.9100801,Apartamento,3,2,1
"Lote/Terreno para comprar com 574 m² em Tribess, Blumenau",,574.0,280000.0,487.8048780487805,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 336 m² em Fortaleza, Blumenau",Rua Helmuth Wandrey,336.0,280000.0,833.3333333333334,-26.8663816,-49.0729713,Lote/Terreno,0,0,0
"Casa para comprar com 140-148 m², 3 quartos, 3 banheiros, 2 vagas em Velha, Blumenau",Rua Três Barras,148.0,730000.0,4932.4324324324325,-26.9142692,-49.1070653,Casa,3,3,2
"Lote/Terreno para comprar com 359 m² em Ponta Aguda, Blumenau",,359.0,350000.0,974.9303621169915,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Casa para comprar com 158 m², 4 quartos, 5 banheiros, 3 vagas em Valparaiso, Blumenau",Rua Palmares,158.0,329240.0,2083.7974683544303,-26.9568571,-49.0718389,Casa,4,5,3
"Lote/Terreno para comprar com 264 m² em Itoupava Central, Blumenau",Rua Rudolfo Walter,264.0,194410.0,736.4015151515151,-26.8085709,-49.0999448,Lote/Terreno,0,0,0
"Apartamento para comprar com 155 m², 3 quartos, 4 banheiros, 2 vagas em Velha, Blumenau",Rua João Pessoa,155.0,1140000.0,7354.8387096774195,-26.9240294,-49.1020425,Apartamento,3,4,2
"Sala/Conjunto para comprar com 42 m², 1 banheiro, 1 vaga em Vila Nova, Blumenau",,42.0,320000.0,7619.047619047619,-27.0797576,-48.9100801,Sala/Conjunto,0,1,1
"Apartamento para comprar com 110 m², 3 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",Rua Marechal Deodoro,110.0,692000.0,6290.909090909091,-26.9184744,-49.08989,Apartamento,3,2,2
"Casa para comprar com 91 m², 3 quartos, 2 banheiros, 4 vagas em Glória, Blumenau",Rua Irapuru,91.0,319790.0,3514.1758241758243,-26.9629926,-49.0517015,Casa,3,2,4
"Apartamento para comprar com 98 m², 3 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",,98.0,679500.0,6933.673469387755,-27.0797576,-48.9100801,Apartamento,3,2,2
"Lote/Terreno para comprar com 317 m² em Itoupava Norte, Blumenau",Rua Primeiro de Maio,317.0,827000.0,2608.832807570978,-26.8881088,-49.0769869,Lote/Terreno,0,0,0
"Casa para comprar com 140 m², 3 quartos, 1 banheiro, 2 vagas em Água Verde, Blumenau",,140.0,389000.0,2778.5714285714284,-27.0797576,-48.9100801,Casa,3,1,2
"Apartamento para comprar com 65 m², 2 quartos, 1 banheiro, 1 vaga em Badenfurt, Blumenau",,65.0,340000.0,5230.769230769231,-27.0797576,-48.9100801,Apartamento,2,1,1
"Lote/Terreno para comprar com 4261 m² em Centro, Blumenau",Rua Nova Friburgo,4261.0,1800000.0,422.4360478760854,-26.9173919,-49.0776057,Lote/Terreno,0,0,0
