Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Apartamento para comprar com 319 m², 4 quartos, 6 banheiros, 4 vagas em Jardim Blumenau, Blumenau",Rua Frederico Guilherme Busch,319.0,2200000.0,6896.551724137931,-26.9283177,-49.0630777,Apartamento,4,6,4
"Lote/Terreno para comprar com 359 m² em Ponta Aguda, Blumenau",,359.0,350000.0,974.9303621169915,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Sobrado para comprar com 61 m², 2 quartos, 2 banheiros, 1 vaga em Itoupavazinha, Blumenau",,61.0,320000.0,5245.901639344263,-27.0797576,-48.9100801,Sobrado,2,2,1
"Casa para comprar com 185 m², 3 quartos, 2 banheiros, 3 vagas em Salto do Norte, Blumenau",,185.0,579000.0,3129.7297297297296,-27.0797576,-48.9100801,Casa,3,2,3
"Apartamento para comprar com 80 m², 2 quartos, 3 banheiros, 2 vagas em Vila Nova, Blumenau",Rua Joinville,80.0,770000.0,9625.0,-26.908409,-49.082358,Apartamento,2,3,2
"Casa para comprar com 158 m², 4 quartos, 5 banheiros, 3 vagas em Valparaiso, Blumenau",Rua Palmares,158.0,329240.0,2083.7974683544303,-26.9568571,-49.0718389,Casa,4,5,3
"Casa para comprar com 113 m², 3 quartos, 3 banheiros, 2 vagas em Itoupava Norte, Blumenau",Rua Massaranduba,113.0,690000.0,6106.194690265486,-26.8758014,-49.086384,Casa,3,3,2
"Lote/Terreno para comprar com 529 m² em Itoupava Norte, Blumenau",Rua Primeiro de Maio,529.0,800000.0,1512.2873345935727,-26.8881088,-49.0769869,Lote/Terreno,0,0,0
"Apartamento para comprar com 54 m², 2 quartos, 1 banheiro, 1 vaga em Progresso, Blumenau",Rua Bruno Schreiber,54.0,190000.0,3518.5185185185187,-27.003948,-49.1092696,Apartamento,2,1,1
"Apartamento para comprar com 56-59 m², 1 quarto, 1 banheiro, 1 vaga em Centro, Blumenau",Rua Sete de Setembro,59.0,550000.0,9322.033898305084,-26.9231016,-49.0630284,Apartamento,1,1,1
"Casa para comprar com 91 m², 3 quartos, 2 banheiros, 4 vagas em Glória, Blumenau",Rua Irapuru,91.0,319790.0,3514.1758241758243,-26.9629926,-49.0517015,Casa,3,2,4
"Sala/Conjunto para comprar com 116 m², 3 banheiros, 3 vagas em Centro, Blumenau",Rua Alwin Schrader,116.0,340000.0,2931.0344827586205,-26.9232075,-49.0544767,Sala/Conjunto,0,3,3
"Lote/Terreno para comprar com 571 m² em Água Verde, Blumenau",Rua Wilhelmina Witthoeft,571.0,650000.0,1138.353765323993,,,Lote/Terreno,0,0,0
"Casa para comprar com 140 m², 4 quartos, 2 banheiros, 1 vaga em Itoupava Central, Blumenau",Rua Selma Volles,140.0,464620.0,3318.714285714286,-26.7914591,-49.0920881,Casa,4,2,1
"Casa para comprar com 203 m², 3 quartos, 4 banheiros, 1 vaga em Tribess, Blumenau",Rua Antônio Lanser,203.0,960000.0,4729.064039408867,,,Casa,3,4,1
"Lote/Terreno para comprar com 1372 m² em Água Verde, Blumenau",Rua General Osório,1372.0,2300000.0,1676.3848396501458,-26.9143717,-49.1098885,Lote/Terreno,0,0,0
"Apartamento para comprar com 73 m², 2 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",,73.0,425000.0,5821.917808219178,-27.0797576,-48.9100801,Apartamento,2,2,2
"Lote/Terreno para comprar com 1674 m² em Água Verde, Blumenau",Rua Dona Emma,1674.0,890000.0,531.6606929510156,-26.9095461,-49.1020345,Lote/Terreno,0,0,0
"Apartamento para comprar com 172 m², 3 quartos, 4 banheiros, 4 vagas em Vila Formosa, Blumenau",Rua Hermann Huscher,172.0,1400000.0,8139.53488372093,-26.9366946,-49.0694576,Apartamento,3,4,4
"Lote/Terreno para comprar com 275 m² em Salto do Norte, Blumenau",Rua Doutor Pedro Zimmermann,275.0,125000.0,454.54545454545456,-26.859167,-49.0860416,Lote/Terreno,0,0,0
"Apartamento para comprar com 117 m², 2 quartos, 3 banheiros, 2 vagas em Itoupava Seca, Blumenau",Rua Gustavo Persuhn,117.0,690000.0,5897.4358974358975,-26.899625,-49.0818088,Apartamento,2,3,2
"Lote/Terreno para comprar com 317 m² em Itoupava Norte, Blumenau",Rua Primeiro de Maio,317.0,827000.0,2608.832807570978,-26.8881088,-49.0769869,Lote/Terreno,0,0,0
"Apartamento para comprar com 155 m², 3 quartos, 4 banheiros, 2 vagas em Velha, Blumenau",Rua João Pessoa,155.0,1140000.0,7354.8387096774195,-26.9240294,-49.1020425,Apartamento,3,4,2
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro, 1 vaga em Itoupava Central, Blumenau",Rua Rudolfo Walter,38.0,205000.0,5394.736842105263,-26.8085709,-49.0999448,Apartamento,2,1,1
"Cobertura para comprar com 317-318 m², 3 quartos, 5 banheiros, 5 vagas em Vila Nova, Blumenau",Rua Benjamin Constant,318.0,5250000.0,16509.43396226415,-26.8895159,-49.0974486,Cobertura,3,5,5
"Lote/Terreno para comprar com 3612 m² em Água Verde, Blumenau",,3612.0,1700000.0,470.6533776301218,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 5524 m² em Salto do Norte, Blumenau",Rua Marechal Rondon,5524.0,1600000.0,289.64518464880524,-26.8724023,-49.0960903,Lote/Terreno,0,0,0
"Apartamento para comprar com 75-76 m², 2 quartos, 2 banheiros, 1 vaga em Água Verde, Blumenau",Rua Tenente Sílvio Delmar Hollenbach,76.0,610000.0,8026.315789473684,-26.9147405,-49.100405,Apartamento,2,2,1
"Casa para comprar com 400 m², 3 quartos, 4 banheiros, 4 vagas em Água Verde, Blumenau",Rua Gustavo Poepper,400.0,800000.0,2000.0,-26.9123442,-49.1053608,Casa,3,4,4
